Date_time,Shift,Day Type,Day,PartySize,MenuCateogry,MenuItem,ItemPrice,ItemQty
2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Starter,Gobi manchurian,14,1
2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Starter,Tasty flatbread,11,1
2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Vegetable specials,Sarson da saag,15,1
2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Vegetable specials,Paneer vindaloo,16,1
2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Breads,Garlic naan,3.5,2
2019-01-01 11:30:00,Lunch,Weekday,Tuesday,4,Breads,Naan,2.75,2
2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Starter,Masala chicken wings,14,1
2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Starter,Cocktail chicken samosas,14,1
2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Chicken specials,Chicken korma,18,1
2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Rice specials,Chicken biryani,19,1
2019-01-01 11:40:00,Lunch,Weekday,Tuesday,3,Breads,Onion kulcha,5,2
2019-01-01 11:50:00,Lunch,Weekday,Tuesday,2,Chicken specials,Chicken tikka masala,18,1
2019-01-01 11:50:00,Lunch,Weekday,Tuesday,2,Breads,Garlic naan,3.5,2
2019-01-01 11:50:00,Lunch,Weekday,Tuesday,2,Desserts,Gulabjamun,6,1
2019-01-01 11:50:00,Lunch,Weekday,Tuesday,2,Desserts,Malpura,8,1
2019-01-01 11:50:00,Lunch,Weekday,Tuesday,0,Starter,Cocktail chicken samosas,14,2
2019-01-01 11:50:00,Lunch,Weekday,Tuesday,0,Chicken specials,Chicken korma,18,1
2019-01-01 11:50:00,Lunch,Weekday,Tuesday,0,Rice specials,Chicken biryani,19,2
2019-01-01 11:50:00,Lunch,Weekday,Tuesday,0,Breads,Onion kulcha,5,2
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Starter,Vegetable samosa,11,1
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Starter,Chaat papri,11,2
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Vegetable specials,Baingan bartha,16,1
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Vegetable specials,Malai kofta,16,2
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Chicken specials,Chicken saag,18,1
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Rice specials,Rice,5,1
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Breads,Garlic naan,3.5,2
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Breads,Tandoori roti,2.75,2
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Desserts,Gulabjamun,6,1
2019-01-01 12:05:00,Lunch,Weekday,Tuesday,5,Desserts,Carrot halwa,7,1
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Vegetable specials,Kadahi paneer,16,1
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Lamb specialties,Kadahi lamb,19,1
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Breads,Aloo paratha,5,1
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Breads,Garlic naan,3.5,1
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,2,Desserts,Rasmalai,6,1
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,0,Vegetable specials,Malai kofta,16,2
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,0,Chicken specials,Chicken saag,18,2
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,0,Rice specials,Rice,5,2
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,0,Breads,Garlic naan,3.5,2
2019-01-01 12:10:00,Lunch,Weekday,Tuesday,0,Breads,Tandoori roti,2.75,1
2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Starter,Vegetable pakora,11,1
2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Starter,Hara bhara kabob,16,1
2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Vegetable specials,Shahi paneer,16,1
2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Vegetable specials,Yellow dal fry,15,1
2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Rice specials,Rice,5,1
2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Breads,Onion kulcha,5,1
2019-01-01 12:20:00,Lunch,Weekday,Tuesday,3,Breads,Garlic naan,3.5,1
2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Vegetable specials,Bhindi do piazza,16,1
2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Vegetable specials,Kadahi paneer,16,1
2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Chicken specials,Coconut chicken curry,18,1
2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Chicken specials,Butter chicken,18,1
2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Breads,Lacha paratha,5,2
2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Breads,Naan,2.75,2
2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Breads,Tandoori roti,2.75,1
2019-01-01 12:30:00,Lunch,Weekday,Tuesday,4,Desserts,Rasmalai,6,2
